2024-10-10 12:37:54, 28.82, 49.71, 3, 806, 315
2024-10-10 12:52:54, 28.84, 49.99, 2, 711, 215
2024-10-10 13:7:54, 28.77, 50.44, 4, 1145, 1637
2024-10-10 13:22:55, 28.88, 50.12, 3, 856, 467
2024-10-10 13:37:55, 28.89, 49.95, 2, 698, 204
2024-10-10 13:52:55, 28.76, 48.19, 1, 400, 6
2024-10-10 14:7:56, 28.85, 47.97, 1, 418, 32
2024-10-10 14:22:56, 28.96, 47.36, 1, 431, 38
2024-10-10 14:37:56, 28.98, 48.53, 1, 400, 1
2024-10-10 14:52:56, 28.90, 45.47, 1, 400, 0
2024-10-10 15:7:57, 29.20, 45.49, 1, 400, 0
2024-10-10 15:22:57, 29.56, 44.90, 1, 400, 0
2024-10-10 15:37:57, 29.71, 43.80, 1, 400, 0
2024-10-10 15:52:58, 29.85, 42.81, 1, 400, 0
2024-10-10 16:7:58, 29.94, 42.99, 1, 400, 0
2024-10-10 16:22:58, 29.99, 42.91, 1, 400, 0
2024-10-10 16:37:59, 29.72, 42.26, 1, 400, 0
2024-10-10 16:52:59, 29.64, 42.49, 1, 400, 0
2024-10-10 17:7:59, 29.45, 42.80, 1, 400, 0
2024-10-10 17:22:59, 29.24, 43.28, 1, 400, 14
2024-10-10 17:38:0, 29.14, 44.64, 1, 410, 28
2024-10-10 17:53:0, 29.10, 45.45, 1, 443, 43
2024-10-10 18:8:0, 29.05, 46.17, 1, 447, 45
2024-10-10 18:23:1, 29.00, 46.76, 1, 473, 58
2024-10-10 18:38:1, 28.95, 47.03, 2, 497, 70
2024-10-10 18:53:1, 29.03, 47.27, 2, 519, 83
2024-10-10 19:8:2, 28.96, 47.35, 2, 528, 88
2024-10-10 19:23:2, 28.95, 48.34, 2, 584, 122
2024-10-10 19:38:2, 28.91, 48.12, 2, 608, 137
2024-10-10 19:53:2, 28.81, 48.22, 2, 573, 115
2024-10-10 20:8:3, 28.84, 48.24, 2, 543, 96
2024-10-10 20:23:3, 28.80, 48.73, 2, 561, 107
2024-10-10 20:38:3, 28.79, 49.01, 2, 583, 121
2024-10-10 20:53:4, 28.75, 49.25, 2, 591, 126
2024-10-10 21:8:4, 28.80, 49.67, 2, 680, 190
2024-10-10 21:23:4, 28.84, 50.12, 3, 769, 266
2024-10-10 21:38:5, 28.98, 51.72, 3, 749, 248
2024-10-10 21:53:5, 28.97, 52.37, 3, 743, 243
2024-10-10 22:8:5, 29.09, 54.56, 4, 992, 961
2024-10-10 22:23:6, 29.45, 53.68, 4, 935, 740
2024-10-10 22:38:6, 29.83, 53.32, 3, 908, 643
2024-10-10 22:53:6, 29.83, 50.76, 3, 845, 432
2024-10-10 23:8:6, 29.64, 53.66, 3, 862, 486
2024-10-10 23:23:7, 29.80, 52.83, 3, 830, 384
2024-10-10 23:38:7, 29.76, 53.47, 3, 838, 409
2024-10-10 23:53:7, 29.84, 50.43, 3, 756, 254
2024-10-11 0:8:8, 29.66, 50.76, 3, 777, 274
2024-10-11 0:23:8, 29.94, 52.13, 3, 816, 342
2024-10-11 0:38:8, 30.05, 55.35, 3, 813, 335
2024-10-11 0:53:9, 30.03, 51.45, 4, 1213, 1978
2024-10-11 1:8:9, 30.23, 48.84, 4, 928, 715
2024-10-11 1:23:9, 30.10, 48.79, 4, 983, 924
2024-10-11 1:38:10, 29.93, 50.31, 3, 864, 493
2024-10-11 1:53:10, 29.68, 50.30, 3, 827, 377
2024-10-11 2:8:10, 29.39, 51.71, 3, 827, 376
2024-10-11 2:23:10, 29.31, 51.79, 3, 831, 389
2024-10-11 2:38:11, 29.14, 51.41, 3, 802, 304
2024-10-11 2:53:11, 28.98, 51.65, 3, 785, 281
2024-10-11 3:8:11, 28.86, 51.86, 3, 813, 335
2024-10-11 3:23:12, 28.80, 52.58, 3, 817, 347
2024-10-11 3:38:12, 28.64, 52.93, 3, 813, 335
2024-10-11 3:53:12, 28.58, 52.99, 3, 814, 338
2024-10-11 4:8:13, 28.67, 52.76, 3, 801, 299
2024-10-11 4:23:13, 28.68, 52.83, 3, 836, 403
2024-10-11 4:38:13, 28.55, 52.22, 3, 812, 331
2024-10-11 4:53:14, 28.45, 52.80, 3, 806, 313
2024-10-11 5:8:14, 28.41, 52.66, 3, 822, 362
2024-10-11 5:23:14, 28.37, 52.72, 3, 841, 420
